h;x;y;Vp;Vpcalc;Vscalc;Ro
0;119,47;76,13;6,59;4,814674528;2,859191004;2,960752196
2;119,47;76,13;6,63;4,155239242;2,29500906;2,68017906
4;119,47;76,13;6,67;7,449382317;4,119326256;3,05299694
6;119,47;76,13;6,71;42,18601661;12,62148911;3,595893065
8;119,47;76,13;6,75;18,41836488;8,973918623;3,062180386
0;119,47;76,13;6,79;4,767637748;2,756984107;2,903710872
2;119,47;76,13;6,84;5,151283453;2,942452097;3,123276526
4;119,47;76,13;6,88;6,12944864;3,513785569;3,197556677
6;119,47;76,13;6,93;11,17302285;5,927069832;2,969629517
8;119,47;76,13;6,98;6,8850697;3,843298956;2,912907081
2;119,83;74,17;6,25;7,973516858;4,228893776;2,754262644
3;119,83;74,17;6,3;5,117764526;3,119766022;2,973852606
4;119,83;74,17;6,33;8,116754432;4,309614607;2,761903152
6;119,83;74,17;6,2;4,821614213;2,836319476;2,989060176
8;119,83;74,17;6,27;5,935463077;3,318950077;2,927587262
0;119,83;74,17;6,34;4,741530727;2,685478584;3,117769344
2;119,83;74,17;6,4;7,763901168;4,141815957;2,804159149
6;119,83;74,17;6,5;8,803720554;4,996455417;3,355537971
8;119,83;74,17;6,54;5,423563489;2,900339577;2,654152227
0;119,83;74,17;6,59;3,296068267;2,109279716;2,633091479
2;119,83;74,17;6,63;8,422300812;4,460608122;2,774340295
4;119,83;74,17;6,67;3,729463801;2,102473569;2,682540404
0;119,83;74,17;6,79;8,98371973;5,198574578;3,432257584
4;119,83;74,17;6,88;3,687995011;1,983689204;2,845925462
8;119,83;74,17;6,98;5,836668054;3,375725901;3,217205344
2;120,2;72,2;6,04;5,905185774;3,433947249;3,263314704
3;120,2;72,2;6,12;6,940422025;3,845735331;2,974915817
5;120,2;72,2;6,12;4,950958647;3,01721282;2,76116873
6;120,2;72,2;6,22;2,809449272;1,651906876;2,632786236
0;120,2;72,2;6,34;6,149008119;3,631821995;3,463742976
4;120,2;72,2;6,46;2,694532671;1,566664846;2,608689296
6;120,2;72,2;6,51;3,98545588;2,222377525;2,745317364
8;120,2;72,2;6,55;5,008836696;2,824210973;3,05826534
4;120,2;72,2;6,67;5,595400385;3,365911097;3,456566999
6;120,2;72,2;6,71;5,845417421;3,419737015;3,267011715
2;120,2;72,2;6,84;5,763652635;3,495651522;3,571905062
4;120,2;72,2;6,88;4,65422261;2,761734731;3,014606149
6;120,2;72,2;6,94;5,459145179;3,040116794;2,992550778
1;120,57;70,23;5,96;3,979848932;2,355078536;2,730666116
2;120,57;70,23;6,04;4,854059198;2,896418795;3,059843246
3;120,57;70,23;6,12;5,035177717;2,862920253;3,126633769
4;120,57;70,23;6,19;3,996328505;2,300049218;2,757445113
5;120,57;70,23;6,12;5,879333914;3,531204903;3,515109427
6;120,57;70,23;6,21;8,211939321;4,512661792;2,747995772
8;120,57;70,23;6,27;4,691651732;2,721124198;2,996297238
0;120,57;70,23;6,34;2,900854684;1,665187808;2,591138278
2;120,57;70,23;6,4;5,913839449;3,420527305;3,255573133
6;120,57;70,23;6,52;6,43227481;3,706987306;2,898399776
8;120,57;70,23;6,56;6,307005667;3,531882658;2,954052793
2;120,57;70,23;6,64;3,218805931;1,93641007;2,631282778
4;120,57;70,23;6,68;2,726494886;1,819308624;2,618020249
